team_abbreviation,player_name,pts
OKC,Shai Gilgeous-Alexander,24.5
NYK,Julius Randle,20.1
BKN,Kevin Durant,29.9
PHX,Devin Booker,26.8
GSW,Stephen Curry,25.5
ORL,Cole Anthony,16.3
MIN,Karl-Anthony Towns,24.6
DET,Jerami Grant,19.2
MEM,Ja Morant,27.4
CHI,DeMar DeRozan,27.9
HOU,Christian Wood,17.9
BOS,Jayson Tatum,26.9
NOP,Brandon Ingram,22.7
MIA,Jimmy Butler,21.4
CLE,Darius Garland,21.7
PHI,Joel Embiid,30.6
CHA,Miles Bridges,20.2
DAL,Luka Doncic,28.4
WAS,Bradley Beal,23.2
POR,Damian Lillard,24.0
UTA,Donovan Mitchell,25.9
DEN,Nikola Jokic,27.1
SAC,De'Aaron Fox,23.2
TOR,Pascal Siakam,22.8
ATL,Trae Young,28.4
IND,Malcolm Brogdon,19.1
SAS,Dejounte Murray,21.1
MIL,Giannis Antetokounmpo,29.9
LAC,Paul George,24.3